"iri","val"
"http://purl.obolibrary.org/obo/PATO_0000001",10776
"http://purl.obolibrary.org/obo/PATO_0000004",17
"http://purl.obolibrary.org/obo/PATO_0000008",15
"http://purl.obolibrary.org/obo/PATO_0000011",18
"http://purl.obolibrary.org/obo/PATO_0000014",216
"http://purl.obolibrary.org/obo/PATO_0000016",4
"http://purl.obolibrary.org/obo/PATO_0000017",33
"http://purl.obolibrary.org/obo/PATO_0000018",12
"http://purl.obolibrary.org/obo/PATO_0000019",14
"http://purl.obolibrary.org/obo/PATO_0000025",473
"http://purl.obolibrary.org/obo/PATO_0000033",42
"http://purl.obolibrary.org/obo/PATO_0000037",3
"http://purl.obolibrary.org/obo/PATO_0000039",20
"http://purl.obolibrary.org/obo/PATO_0000040",21
"http://purl.obolibrary.org/obo/PATO_0000043",2
"http://purl.obolibrary.org/obo/PATO_0000044",54
"http://purl.obolibrary.org/obo/PATO_0000047",7
"http://purl.obolibrary.org/obo/PATO_0000048",5
"http://purl.obolibrary.org/obo/PATO_0000049",15
"http://purl.obolibrary.org/obo/PATO_0000050",10
"http://purl.obolibrary.org/obo/PATO_0000051",10515
"http://purl.obolibrary.org/obo/PATO_0000052",575
"http://purl.obolibrary.org/obo/PATO_0000057",485
"http://purl.obolibrary.org/obo/PATO_0000060",494
"http://purl.obolibrary.org/obo/PATO_0000066",3
"http://purl.obolibrary.org/obo/PATO_0000068",4
"http://purl.obolibrary.org/obo/PATO_0000069",50
"http://purl.obolibrary.org/obo/PATO_0000070",3301
"http://purl.obolibrary.org/obo/PATO_0000077",28
"http://purl.obolibrary.org/obo/PATO_0000078",14
"http://purl.obolibrary.org/obo/PATO_0000080",14
"http://purl.obolibrary.org/obo/PATO_0000082",12
"http://purl.obolibrary.org/obo/PATO_0000083",11
"http://purl.obolibrary.org/obo/PATO_0000085",8
"http://purl.obolibrary.org/obo/PATO_0000117",2013
"http://purl.obolibrary.org/obo/PATO_0000119",57
"http://purl.obolibrary.org/obo/PATO_0000122",730
"http://purl.obolibrary.org/obo/PATO_0000125",21572
"http://purl.obolibrary.org/obo/PATO_0000128",234
"http://purl.obolibrary.org/obo/PATO_0000133",136
"http://purl.obolibrary.org/obo/PATO_0000136",193
"http://purl.obolibrary.org/obo/PATO_0000140",513
"http://purl.obolibrary.org/obo/PATO_0000141",682
"http://purl.obolibrary.org/obo/PATO_0000146",56
"http://purl.obolibrary.org/obo/PATO_0000150",54
"http://purl.obolibrary.org/obo/PATO_0000152",4
"http://purl.obolibrary.org/obo/PATO_0000161",598
"http://purl.obolibrary.org/obo/PATO_0000165",12
"http://purl.obolibrary.org/obo/PATO_0000169",12
"http://purl.obolibrary.org/obo/PATO_0000185",4
"http://purl.obolibrary.org/obo/PATO_0000186",5
"http://purl.obolibrary.org/obo/PATO_0000188",2
"http://purl.obolibrary.org/obo/PATO_0000261",5
"http://purl.obolibrary.org/obo/PATO_0000273",8
"http://purl.obolibrary.org/obo/PATO_0000274",19
"http://purl.obolibrary.org/obo/PATO_0000276",4
"http://purl.obolibrary.org/obo/PATO_0000277",6
"http://purl.obolibrary.org/obo/PATO_0000279",6
"http://purl.obolibrary.org/obo/PATO_0000297",345
"http://purl.obolibrary.org/obo/PATO_0000299",1
"http://purl.obolibrary.org/obo/PATO_0000300",20
"http://purl.obolibrary.org/obo/PATO_0000303",8
"http://purl.obolibrary.org/obo/PATO_0000304",30
"http://purl.obolibrary.org/obo/PATO_0000308",2
"http://purl.obolibrary.org/obo/PATO_0000309",2
"http://purl.obolibrary.org/obo/PATO_0000317",6
"http://purl.obolibrary.org/obo/PATO_0000318",7
"http://purl.obolibrary.org/obo/PATO_0000319",2
"http://purl.obolibrary.org/obo/PATO_0000320",8
"http://purl.obolibrary.org/obo/PATO_0000322",8
"http://purl.obolibrary.org/obo/PATO_0000323",16
"http://purl.obolibrary.org/obo/PATO_0000324",3
"http://purl.obolibrary.org/obo/PATO_0000327",9
"http://purl.obolibrary.org/obo/PATO_0000328",29
"http://purl.obolibrary.org/obo/PATO_0000329",1
"http://purl.obolibrary.org/obo/PATO_0000330",113
"http://purl.obolibrary.org/obo/PATO_0000331",10
"http://purl.obolibrary.org/obo/PATO_0000333",9
"http://purl.obolibrary.org/obo/PATO_0000336",6
"http://purl.obolibrary.org/obo/PATO_0000337",16
"http://purl.obolibrary.org/obo/PATO_0000345",2
"http://purl.obolibrary.org/obo/PATO_0000374",39
"http://purl.obolibrary.org/obo/PATO_0000375",29
"http://purl.obolibrary.org/obo/PATO_0000380",34
"http://purl.obolibrary.org/obo/PATO_0000381",48
"http://purl.obolibrary.org/obo/PATO_0000383",13768
"http://purl.obolibrary.org/obo/PATO_0000384",12317
"http://purl.obolibrary.org/obo/PATO_0000386",5
"http://purl.obolibrary.org/obo/PATO_0000387",3
"http://purl.obolibrary.org/obo/PATO_0000389",6
"http://purl.obolibrary.org/obo/PATO_0000394",4
"http://purl.obolibrary.org/obo/PATO_0000395",4
"http://purl.obolibrary.org/obo/PATO_0000396",19
"http://purl.obolibrary.org/obo/PATO_0000402",57
"http://purl.obolibrary.org/obo/PATO_0000403",45
"http://purl.obolibrary.org/obo/PATO_0000404",9
"http://purl.obolibrary.org/obo/PATO_0000405",18
"http://purl.obolibrary.org/obo/PATO_0000406",109
"http://purl.obolibrary.org/obo/PATO_0000407",51
"http://purl.obolibrary.org/obo/PATO_0000410",1
"http://purl.obolibrary.org/obo/PATO_0000411",92
"http://purl.obolibrary.org/obo/PATO_0000413",7
"http://purl.obolibrary.org/obo/PATO_0000414",4
"http://purl.obolibrary.org/obo/PATO_0000422",53
"http://purl.obolibrary.org/obo/PATO_0000427",5
"http://purl.obolibrary.org/obo/PATO_0000428",6
"http://purl.obolibrary.org/obo/PATO_0000440",3
"http://purl.obolibrary.org/obo/PATO_0000453",1
"http://purl.obolibrary.org/obo/PATO_0000454",4
"http://purl.obolibrary.org/obo/PATO_0000460",53051
"http://purl.obolibrary.org/obo/PATO_0000461",1789
"http://purl.obolibrary.org/obo/PATO_0000462",2216
"http://purl.obolibrary.org/obo/PATO_0000464",3
"http://purl.obolibrary.org/obo/PATO_0000467",708
"http://purl.obolibrary.org/obo/PATO_0000470",2749
"http://purl.obolibrary.org/obo/PATO_0000488",1
"http://purl.obolibrary.org/obo/PATO_0000498",152
"http://purl.obolibrary.org/obo/PATO_0000499",62
"http://purl.obolibrary.org/obo/PATO_0000500",1
"http://purl.obolibrary.org/obo/PATO_0000502",426
"http://purl.obolibrary.org/obo/PATO_0000503",1
"http://purl.obolibrary.org/obo/PATO_0000504",3
"http://purl.obolibrary.org/obo/PATO_0000505",2
"http://purl.obolibrary.org/obo/PATO_0000513",7
"http://purl.obolibrary.org/obo/PATO_0000515",10
"http://purl.obolibrary.org/obo/PATO_0000516",7
"http://purl.obolibrary.org/obo/PATO_0000547",6
"http://purl.obolibrary.org/obo/PATO_0000569",30
"http://purl.obolibrary.org/obo/PATO_0000570",17
"http://purl.obolibrary.org/obo/PATO_0000573",255
"http://purl.obolibrary.org/obo/PATO_0000574",585
"http://purl.obolibrary.org/obo/PATO_0000582",65
"http://purl.obolibrary.org/obo/PATO_0000583",58
"http://purl.obolibrary.org/obo/PATO_0000584",106
"http://purl.obolibrary.org/obo/PATO_0000585",34
"http://purl.obolibrary.org/obo/PATO_0000586",761
"http://purl.obolibrary.org/obo/PATO_0000587",1027
"http://purl.obolibrary.org/obo/PATO_0000591",216
"http://purl.obolibrary.org/obo/PATO_0000592",279
"http://purl.obolibrary.org/obo/PATO_0000595",60
"http://purl.obolibrary.org/obo/PATO_0000596",87
"http://purl.obolibrary.org/obo/PATO_0000599",129
"http://purl.obolibrary.org/obo/PATO_0000600",304
"http://purl.obolibrary.org/obo/PATO_0000608",20
"http://purl.obolibrary.org/obo/PATO_0000609",49
"http://purl.obolibrary.org/obo/PATO_0000610",19
"http://purl.obolibrary.org/obo/PATO_0000613",35
"http://purl.obolibrary.org/obo/PATO_0000614",5
"http://purl.obolibrary.org/obo/PATO_0000615",10
"http://purl.obolibrary.org/obo/PATO_0000616",73
"http://purl.obolibrary.org/obo/PATO_0000617",45
"http://purl.obolibrary.org/obo/PATO_0000618",19
"http://purl.obolibrary.org/obo/PATO_0000619",8
"http://purl.obolibrary.org/obo/PATO_0000620",12
"http://purl.obolibrary.org/obo/PATO_0000622",5
"http://purl.obolibrary.org/obo/PATO_0000623",20
"http://purl.obolibrary.org/obo/PATO_0000624",1
"http://purl.obolibrary.org/obo/PATO_0000625",29
"http://purl.obolibrary.org/obo/PATO_0000626",6
"http://purl.obolibrary.org/obo/PATO_0000627",24
"http://purl.obolibrary.org/obo/PATO_0000628",670
"http://purl.obolibrary.org/obo/PATO_0000629",25
"http://purl.obolibrary.org/obo/PATO_0000630",7
"http://purl.obolibrary.org/obo/PATO_0000631",6
"http://purl.obolibrary.org/obo/PATO_0000632",18
"http://purl.obolibrary.org/obo/PATO_0000634",9
"http://purl.obolibrary.org/obo/PATO_0000635",8
"http://purl.obolibrary.org/obo/PATO_0000636",7
"http://purl.obolibrary.org/obo/PATO_0000638",219
"http://purl.obolibrary.org/obo/PATO_0000639",238
"http://purl.obolibrary.org/obo/PATO_0000640",76
"http://purl.obolibrary.org/obo/PATO_0000642",274
"http://purl.obolibrary.org/obo/PATO_0000643",11
"http://purl.obolibrary.org/obo/PATO_0000644",159
"http://purl.obolibrary.org/obo/PATO_0000645",597
"http://purl.obolibrary.org/obo/PATO_0000646",392
"http://purl.obolibrary.org/obo/PATO_0000647",46
"http://purl.obolibrary.org/obo/PATO_0000648",38
"http://purl.obolibrary.org/obo/PATO_0000651",21
"http://purl.obolibrary.org/obo/PATO_0000665",1
"http://purl.obolibrary.org/obo/PATO_0000688",9
"http://purl.obolibrary.org/obo/PATO_0000689",9
"http://purl.obolibrary.org/obo/PATO_0000690",20
"http://purl.obolibrary.org/obo/PATO_0000692",5
"http://purl.obolibrary.org/obo/PATO_0000694",138
"http://purl.obolibrary.org/obo/PATO_0000700",31
"http://purl.obolibrary.org/obo/PATO_0000701",8
"http://purl.obolibrary.org/obo/PATO_0000706",1
"http://purl.obolibrary.org/obo/PATO_0000708",1
"http://purl.obolibrary.org/obo/PATO_0000718",28
"http://purl.obolibrary.org/obo/PATO_0000719",8
"http://purl.obolibrary.org/obo/PATO_0000758",1
"http://purl.obolibrary.org/obo/PATO_0000760",6
"http://purl.obolibrary.org/obo/PATO_0000761",4
"http://purl.obolibrary.org/obo/PATO_0000763",25
"http://purl.obolibrary.org/obo/PATO_0000770",11
"http://purl.obolibrary.org/obo/PATO_0000888",6
"http://purl.obolibrary.org/obo/PATO_0000890",4
"http://purl.obolibrary.org/obo/PATO_0000891",6
"http://purl.obolibrary.org/obo/PATO_0000892",8
"http://purl.obolibrary.org/obo/PATO_0000911",710
"http://purl.obolibrary.org/obo/PATO_0000912",574
"http://purl.obolibrary.org/obo/PATO_0000915",174
"http://purl.obolibrary.org/obo/PATO_0000918",118
"http://purl.obolibrary.org/obo/PATO_0000921",151
"http://purl.obolibrary.org/obo/PATO_0000927",10
"http://purl.obolibrary.org/obo/PATO_0000936",64
"http://purl.obolibrary.org/obo/PATO_0000937",649
"http://purl.obolibrary.org/obo/PATO_0000938",33
"http://purl.obolibrary.org/obo/PATO_0000941",44
"http://purl.obolibrary.org/obo/PATO_0000944",51
"http://purl.obolibrary.org/obo/PATO_0000946",4
"http://purl.obolibrary.org/obo/PATO_0000947",8
"http://purl.obolibrary.org/obo/PATO_0000950",5
"http://purl.obolibrary.org/obo/PATO_0000951",2
"http://purl.obolibrary.org/obo/PATO_0000952",12
"http://purl.obolibrary.org/obo/PATO_0000955",6
"http://purl.obolibrary.org/obo/PATO_0000956",13
"http://purl.obolibrary.org/obo/PATO_0000957",35
"http://purl.obolibrary.org/obo/PATO_0000963",31
"http://purl.obolibrary.org/obo/PATO_0000964",10
"http://purl.obolibrary.org/obo/PATO_0000965",77
"http://purl.obolibrary.org/obo/PATO_0000967",55
"http://purl.obolibrary.org/obo/PATO_0000969",6
"http://purl.obolibrary.org/obo/PATO_0000970",30
"http://purl.obolibrary.org/obo/PATO_0000973",8
"http://purl.obolibrary.org/obo/PATO_0000982",2
"http://purl.obolibrary.org/obo/PATO_0000983",2
"http://purl.obolibrary.org/obo/PATO_0000984",20
"http://purl.obolibrary.org/obo/PATO_0000992",6
"http://purl.obolibrary.org/obo/PATO_0000998",1
"http://purl.obolibrary.org/obo/PATO_0001005",3
"http://purl.obolibrary.org/obo/PATO_0001018",31
"http://purl.obolibrary.org/obo/PATO_0001019",93
"http://purl.obolibrary.org/obo/PATO_0001020",16
"http://purl.obolibrary.org/obo/PATO_0001021",6
"http://purl.obolibrary.org/obo/PATO_0001022",2
"http://purl.obolibrary.org/obo/PATO_0001023",2
"http://purl.obolibrary.org/obo/PATO_0001024",2
"http://purl.obolibrary.org/obo/PATO_0001025",39
"http://purl.obolibrary.org/obo/PATO_0001026",3
"http://purl.obolibrary.org/obo/PATO_0001028",2
"http://purl.obolibrary.org/obo/PATO_0001029",2
"http://purl.obolibrary.org/obo/PATO_0001030",2
"http://purl.obolibrary.org/obo/PATO_0001031",15
"http://purl.obolibrary.org/obo/PATO_0001034",1
"http://purl.obolibrary.org/obo/PATO_0001035",5
"http://purl.obolibrary.org/obo/PATO_0001043",10
"http://purl.obolibrary.org/obo/PATO_0001046",6
"http://purl.obolibrary.org/obo/PATO_0001051",2
"http://purl.obolibrary.org/obo/PATO_0001052",4
"http://purl.obolibrary.org/obo/PATO_0001152",2
"http://purl.obolibrary.org/obo/PATO_0001154",63
"http://purl.obolibrary.org/obo/PATO_0001159",194
"http://purl.obolibrary.org/obo/PATO_0001161",3
"http://purl.obolibrary.org/obo/PATO_0001162",251
"http://purl.obolibrary.org/obo/PATO_0001163",258
"http://purl.obolibrary.org/obo/PATO_0001164",6
"http://purl.obolibrary.org/obo/PATO_0001167",48
"http://purl.obolibrary.org/obo/PATO_0001171",1
"http://purl.obolibrary.org/obo/PATO_0001178",27
"http://purl.obolibrary.org/obo/PATO_0001191",1
"http://purl.obolibrary.org/obo/PATO_0001192",14
"http://purl.obolibrary.org/obo/PATO_0001193",1
"http://purl.obolibrary.org/obo/PATO_0001194",1
"http://purl.obolibrary.org/obo/PATO_0001195",1
"http://purl.obolibrary.org/obo/PATO_0001196",1
"http://purl.obolibrary.org/obo/PATO_0001199",18
"http://purl.obolibrary.org/obo/PATO_0001200",2
"http://purl.obolibrary.org/obo/PATO_0001201",2
"http://purl.obolibrary.org/obo/PATO_0001206",2
"http://purl.obolibrary.org/obo/PATO_0001227",11
"http://purl.obolibrary.org/obo/PATO_0001229",2
"http://purl.obolibrary.org/obo/PATO_0001230",75
"http://purl.obolibrary.org/obo/PATO_0001233",1
"http://purl.obolibrary.org/obo/PATO_0001234",2
"http://purl.obolibrary.org/obo/PATO_0001236",1580
"http://purl.obolibrary.org/obo/PATO_0001237",17
"http://purl.obolibrary.org/obo/PATO_0001238",2
"http://purl.obolibrary.org/obo/PATO_0001241",434
"http://purl.obolibrary.org/obo/PATO_0001242",1
"http://purl.obolibrary.org/obo/PATO_0001251",1
"http://purl.obolibrary.org/obo/PATO_0001259",2
"http://purl.obolibrary.org/obo/PATO_0001266",1
"http://purl.obolibrary.org/obo/PATO_0001272",1
"http://purl.obolibrary.org/obo/PATO_0001284",1
"http://purl.obolibrary.org/obo/PATO_0001286",3
"http://purl.obolibrary.org/obo/PATO_0001287",1
"http://purl.obolibrary.org/obo/PATO_0001290",1
"http://purl.obolibrary.org/obo/PATO_0001291",1
"http://purl.obolibrary.org/obo/PATO_0001296",2
"http://purl.obolibrary.org/obo/PATO_0001297",3
"http://purl.obolibrary.org/obo/PATO_0001299",2
"http://purl.obolibrary.org/obo/PATO_0001300",5
"http://purl.obolibrary.org/obo/PATO_0001301",1
"http://purl.obolibrary.org/obo/PATO_0001303",5
"http://purl.obolibrary.org/obo/PATO_0001305",37
"http://purl.obolibrary.org/obo/PATO_0001306",19
"http://purl.obolibrary.org/obo/PATO_0001309",70
"http://purl.obolibrary.org/obo/PATO_0001320",8
"http://purl.obolibrary.org/obo/PATO_0001321",2
"http://purl.obolibrary.org/obo/PATO_0001322",1
"http://purl.obolibrary.org/obo/PATO_0001323",59
"http://purl.obolibrary.org/obo/PATO_0001324",23
"http://purl.obolibrary.org/obo/PATO_0001325",3
"http://purl.obolibrary.org/obo/PATO_0001332",32
"http://purl.obolibrary.org/obo/PATO_0001333",13
"http://purl.obolibrary.org/obo/PATO_0001334",90
"http://purl.obolibrary.org/obo/PATO_0001338",1
"http://purl.obolibrary.org/obo/PATO_0001340",2
"http://purl.obolibrary.org/obo/PATO_0001350",2
"http://purl.obolibrary.org/obo/PATO_0001351",29
"http://purl.obolibrary.org/obo/PATO_0001352",3
"http://purl.obolibrary.org/obo/PATO_0001353",10
"http://purl.obolibrary.org/obo/PATO_0001354",14
"http://purl.obolibrary.org/obo/PATO_0001355",4
"http://purl.obolibrary.org/obo/PATO_0001356",3
"http://purl.obolibrary.org/obo/PATO_0001357",2
"http://purl.obolibrary.org/obo/PATO_0001358",4
"http://purl.obolibrary.org/obo/PATO_0001359",1
"http://purl.obolibrary.org/obo/PATO_0001360",8
"http://purl.obolibrary.org/obo/PATO_0001362",21
"http://purl.obolibrary.org/obo/PATO_0001364",2
"http://purl.obolibrary.org/obo/PATO_0001365",1
"http://purl.obolibrary.org/obo/PATO_0001366",3
"http://purl.obolibrary.org/obo/PATO_0001367",4
"http://purl.obolibrary.org/obo/PATO_0001368",5
"http://purl.obolibrary.org/obo/PATO_0001369",2
"http://purl.obolibrary.org/obo/PATO_0001371",2
"http://purl.obolibrary.org/obo/PATO_0001372",10
"http://purl.obolibrary.org/obo/PATO_0001373",1
"http://purl.obolibrary.org/obo/PATO_0001374",4
"http://purl.obolibrary.org/obo/PATO_0001375",21
"http://purl.obolibrary.org/obo/PATO_0001377",9
"http://purl.obolibrary.org/obo/PATO_0001381",1
"http://purl.obolibrary.org/obo/PATO_0001382",2
"http://purl.obolibrary.org/obo/PATO_0001385",3
"http://purl.obolibrary.org/obo/PATO_0001386",1
"http://purl.obolibrary.org/obo/PATO_0001389",1
"http://purl.obolibrary.org/obo/PATO_0001392",1
"http://purl.obolibrary.org/obo/PATO_0001393",5
"http://purl.obolibrary.org/obo/PATO_0001394",8
